dam_name,lavel,r_percen,percen_lv,cnanel,percen_cha,outflow,outflow/day,chi,perchi,Latitude,Longitude,date,time,urlpercen,urlpercenchi,urlpercencha,inflow,inflow/day,size
อุบลรัตน์,"1,500.89",0.62,61.73%,930.41,38.27%,0.8,9.26,919.22,49.70%,16.775259,102.618412,28/9/2023,6.00น.,"<img src="".../beeX/damp/percendamp/สไลด์1.jpg"" width=100% >","<img src="".../beeX/damp/percendamp/สไลด์4.jpg"" width=100% >","<img src="".../beeX/damp/percendamp/สไลด์7.jpg"" width=100% >",62.11,718.87,L
ลำปาว,"2,041.00",1.03,103.08%,-61.00,-3.08%,23.51,272.11,1941.00,98.03%,16.602442,103.448136,28/9/2023,6.00น.,"<img src="".../beeX/damp/percendamp/สไลด์2.jpg"" width=100% >","<img src="".../beeX/damp/percendamp/สไลด์5.jpg"" width=100% >","<img src="".../beeX/damp/percendamp/สไลด์8.jpg"" width=100% >",31.55,365.16,L
จุฬาภรณ์,82.67,0.50,50.49%,81.08,49.51%,0,0.00,45.46,35.93%,16.537355,101.650789,28/9/2023,6.00น.,"<img src="".../beeX/damp/percendamp/สไลด์3.jpg"" width=100% >","<img src="".../beeX/damp/percendamp/สไลด์6.jpg"" width=100% >","<img src="".../beeX/damp/percendamp/สไลด์9.jpg"" width=100% >",0.92,10.65,L
ลำคันฉู,41.27,0.97,96.88%,32.19,38.94%,0,0.00,4.06,4.91%,15.50983738,101.5528448,28/9/2023,6.00น.,,,,0.66,7.64,M
ชนบท,17.22,1.08,107.63%,5.03,9.96%,11.34,131.25,-19.99,-65.48%,16.070959,102.509952,28/9/2023,6.00น.,,,,0.00,0.00,M
มหาสารคาม,25.55,1.06,106.46%,9.53,20.97%,31.11,360.07,-11.66,-25.65%,16.36834,102.947193,28/9/2023,6.00น.,,,,0.00,0.00,M
วังยาง,36.8,1.10,102.45%,-45.17,-125.75%,42.22,488.66,-0.41,2.52%,16.199612,103.4731222,28/9/2023,6.00น.,,,,0.00,0.00,M
ร้อยเอ็ด,31.36,1.96,196.00%,-657.91,-811.33%,62.67,725.35,-5.85,-7.21%,16.172,103.7894,28/9/2023,6.00น.,,,,0.00,0.00,M
ยโสธร,22.85,1.17,117.42%,701.79,94.96%,86.46,1000.69,-14.36,-1.94%,15.75029228,104.1130663,28/9/2023,6.00น.,,,,0.00,0.00,M
ธาตุน้อย,101.1,1.80,180.21%,37.21,100.00%,112.8,1305.56,63.89,171.70%,15.31041681,104.4563396,28/9/2023,6.00น.,,,,0.00,0.00,M
หัวนา,96.95,1.49,149.20%,-19.95,#DIV/0!,870.57,10076.04,59.74,#DIV/0!,15.13911916,104.702731,28/9/2023,6.00น.,,,,0.00,0.00,M
