station,Q,Q/day,depth,LV,LV+/-,Qexp,Latitude,Longitude,L,A,G,date,time,zeroGate,gm,depth_ecp,name_1,Qmax_exp,lat_long
E.32A,151.40,13.08,8.26,206.26,-3.74,37.48,15.90740013,101.7082291,12.00,▲,ระดับต่ำกว่าตลิ่ง,17/9/2023,6.00น.,198,-1,3.78,E.32A_1,500,"15.9074001312255,101.708229064941"
E.5,79.56,6.87,5.16,190.16,-6.34,9.2,15.77033997,101.812851,11.50,▲,ระดับต่ำกว่าตลิ่ง,17/9/2023,6.00น.,185,-1,3.8,E.5_1,570,"15.7703399658203,101.812850952148"
E.23,49.44,4.27,5.78,181.98,-3.22,46.39,15.68175983,102.009552,9.00,▲,ระดับต่ำกว่าตลิ่ง,17/9/2023,6.00น.,176.1999969,-1,5.67,E.23_1,250,"15.6817598342895,102.009552001953"
E.6C,22.96,1.98,4.24,196.94,-1.26,26.95,15.95536041,102.0336304,5.50,▼,เฝ้าระวังระดับต่ำกว่าตลิ่ง,17/9/2023,6.00น.,192.6999969,-2,4.53,E.6C_1,50,"15.9553604125976,102.033630371093"
E.9,60.72,5.25,5.93,157.03,-5.07,49.2,16.09693909,102.5700226,11.00,▲,ระดับต่ำกว่าตลิ่ง,17/9/2023,6.00น.,151.1000061,-1,5.36,E.9_1,430,"16.096939086914,102.570022583007"
E.29A,81.75,7.06,6.79,234.79,-3.71,13.2,16.84763908,101.9442596,10.50,▲,ระดับต่ำกว่าตลิ่ง,17/9/2023,6.00น.,228,-2,2.85,E.29A_1,220,"16.8476390838623,101.944259643554"
E.22B,60.95,5.27,2.88,153.78,-7.12,60.95,16.65447998,102.8234863,10.00,►,ระดับต่ำกว่าตลิ่ง,17/9/2023,6.00น.,150.8999939,-1,2.88,E.22B_1,400,"16.6544799804687,102.823486328125"
E.91,409.60,35.39,7.92,145.92,-3.78,254.96,16.36606979,102.9497528,11.70,▲,ระดับต่ำกว่าตลิ่ง,17/9/2023,6.00น.,138,-1,5.96,E.91_1,820,"16.3660697937011,102.949752807617"
E.66A,388.28,33.55,8.46,135.36,-3.14,346.49,16.20825005,103.5276413,11.60,▲,ระดับต่ำกว่าตลิ่ง,17/9/2023,6.00น.,126.9000015,-1.1,8.03,E.66A_1,730,"16.2082500457763,103.527641296386"
E.75,63.28,5.47,3.36,140.36,-4.14,28.56,16.58120918,103.4371109,7.50,▲,ระดับต่ำกว่าตลิ่ง,17/9/2023,6.00น.,137,-1,2.44,E.75_1,370,"16.5812091827392,103.437110900878"
E.87,100.80,8.71,6.18,135.08,-2.32,96.82,16.34078026,103.5770111,8.50,▲,ระดับต่ำกว่าตลิ่ง,17/9/2023,6.00น.,128.8999939,-1,5.57,E.87_1,290,"16.3407802581787,103.577011108398"
E.95A,***,-,5.80,130.43,-1.70,***,16.11580086,103.8466034,7.50,▲,ระดับต่ำกว่าตลิ่ง,17/9/2023,6.00น.,124.6299973,-1,5.6,E.95A_1,700,"16.1158008575439,103.846603393554"
E.18,714.34,61.72,7.84,130.04,-1.96,688.48,16.03414917,103.9069366,9.80,▲,ระดับต่ำกว่าตลิ่ง,17/9/2023,6.00น.,122.1999969,-0.8,7.65,E.18_1,1050,"16.0341491699218,103.906936645507"
